pair,corpus,scene,pair_kind,layout,season,height_m,tilt_deg,yaw_deg,scale_ratio,b_px,area_frac,covis_frac,compensation_src,вердикт,bytes,dup_group,dup_size,dup_kind
base_pair_5b92d009f43a_00003_inside.npz,base,5b92d009a8395c000594b297,orto_basemap,inside,,232.4,8.53,22.45,0.941,1214,1.0,0.9999,field,разметка подтверждена,2133332,g0056,1,
base_pair_5b92d009f43a_00004_partial.npz,base,5b92d009a8395c000594b297,orto_basemap,partial,,273.4,1.91,68.98,1.149,1623,0.847,0.8524,field,разметка подтверждена,2206392,g0056,1,
base_pair_5b92d009f43a_00005_inside.npz,base,5b92d009a8395c000594b297,orto_basemap,inside,,265.0,2.15,300.8,1.132,1384,1.0,0.9967,field,разметка подтверждена,1999156,g0056,1,
base_pair_5b92d009f43a_00006_inside_ss.npz,base,5b92d009a8395c000594b297,same_source,inside,,259.2,8.86,330.87,0.936,1246,1.0,0.9969,same_source,разметка подтверждена,2735377,g0056,1,
base_pair_5b92d009f43a_00007_inside.npz,base,5b92d009a8395c000594b297,orto_basemap,inside,,175.7,1.06,94.5,0.983,1335,1.0,0.9977,global,разметка подтверждена,1890923,g0056,1,
base_pair_5b92d009f43a_00008_partial.npz,base,5b92d009a8395c000594b297,orto_basemap,partial,,243.0,2.43,70.67,0.876,1871,0.8047,0.8074,global,разметка подтверждена,2229102,g0056,1,
base_pair_5b92d009f43a_00009_inside.npz,base,5b92d009a8395c000594b297,orto_basemap,inside,,227.6,5.87,239.39,1.104,1801,1.0,0.9989,global,разметка подтверждена,2050304,g0056,1,
base_pair_5b92d009f43a_00010_inside.npz,base,5b92d009a8395c000594b297,orto_basemap,inside,,214.1,7.75,207.61,1.116,1612,1.0,0.9998,global,разметка подтверждена,2559148,g0056,1,
base_pair_5b92d009f43a_00011_inside.npz,base,5b92d009a8395c000594b297,orto_basemap,inside,,191.6,2.95,182.18,1.034,1918,1.0,0.9997,global,разметка подтверждена,2519900,g0056,1,
base_pair_60b815e73845_00000_inside.npz,base,60b815e7fd80620005e340f1,orto_basemap,inside,,193.0,4.23,341.51,0.993,1469,1.0,0.9971,cell_refine,разметка подтверждена,2264206,g0283,1,
base_pair_60b815e73845_00001_partial.npz,base,60b815e7fd80620005e340f1,orto_basemap,partial,,231.7,2.03,48.26,1.113,847,0.6782,0.6821,cell_refine,разметка подтверждена,1568940,g0283,1,
base_pair_60b815e73845_00002_partial.npz,base,60b815e7fd80620005e340f1,orto_basemap,partial,,209.6,5.16,57.83,1.068,1127,0.8492,0.8422,field,разметка подтверждена,2374635,g0283,1,
base_pair_60b815e73845_00003_inside.npz,base,60b815e7fd80620005e340f1,orto_basemap,inside,,232.4,8.53,22.45,0.941,1214,1.0,0.9997,field,разметка подтверждена,2440727,g0283,1,
base_pair_60b815e73845_00004_partial.npz,base,60b815e7fd80620005e340f1,orto_basemap,partial,,273.4,1.91,68.98,1.149,1623,0.847,0.8528,field,разметка подтверждена,2779227,g0283,1,
base_pair_60b815e73845_00005_inside.npz,base,60b815e7fd80620005e340f1,orto_basemap,inside,,265.0,2.15,300.8,1.132,1384,1.0,0.9983,field,разметка подтверждена,2426999,g0283,1,
base_pair_60b815e73845_00006_inside_ss.npz,base,60b815e7fd80620005e340f1,same_source,inside,,259.2,8.86,330.87,0.936,1246,1.0,0.9944,same_source,разметка подтверждена,2949004,g0283,1,
base_pair_60b815e73845_00007_inside.npz,base,60b815e7fd80620005e340f1,orto_basemap,inside,,175.7,1.06,94.5,0.983,1335,1.0,0.998,global,разметка подтверждена,2006442,g0283,1,
base_pair_60b815e73845_00008_partial.npz,base,60b815e7fd80620005e340f1,orto_basemap,partial,,243.0,2.43,70.67,0.876,1871,0.8047,0.807,field,разметка подтверждена,2887687,g0283,1,
base_pair_60b815e73845_00009_inside.npz,base,60b815e7fd80620005e340f1,orto_basemap,inside,,227.6,5.87,239.39,1.104,1801,1.0,0.9999,field,разметка подтверждена,2566474,g0283,1,
base_pair_60b815e73845_00010_inside.npz,base,60b815e7fd80620005e340f1,orto_basemap,inside,,214.1,7.75,207.61,1.116,1612,1.0,0.9997,field,разметка подтверждена,2950375,g0283,1,
base_pair_60b815e73845_00011_inside.npz,base,60b815e7fd80620005e340f1,orto_basemap,inside,,191.6,2.95,182.18,1.034,1918,1.0,0.9995,field,разметка подтверждена,3040142,g0283,1,
base_pair_5b930a66ea9f_00000_inside.npz,base,5b930a66a8395c000594b29b,orto_basemap,inside,,193.0,4.23,341.51,0.993,1469,1.0,0.9965,global,проверено частично,1915620,g0057,1,
base_pair_5b930a66ea9f_00001_partial.npz,base,5b930a66a8395c000594b29b,orto_basemap,partial,,231.7,2.03,48.26,1.113,847,0.6782,0.6882,global,проверено частично,1391717,g0057,1,
base_pair_5b930a66ea9f_00002_partial.npz,base,5b930a66a8395c000594b29b,orto_basemap,partial,,209.6,5.16,57.83,1.068,1127,0.8492,0.8414,global,проверено частично,2050317,g0057,1,
base_pair_5b930a66ea9f_00003_inside.npz,base,5b930a66a8395c000594b29b,orto_basemap,inside,,232.4,8.53,22.45,0.941,1214,1.0,0.9994,global,проверено частично,2036101,g0057,1,
base_pair_5b930a66ea9f_00004_partial.npz,base,5b930a66a8395c000594b29b,orto_basemap,partial,,273.4,1.91,68.98,1.149,1623,0.847,0.8519,global,проверено частично,2252533,g0057,1,
base_pair_5b930a66ea9f_00005_inside.npz,base,5b930a66a8395c000594b29b,orto_basemap,inside,,265.0,2.15,300.8,1.132,1384,1.0,0.9984,global,проверено частично,2008806,g0057,1,
base_pair_5b930a66ea9f_00006_inside_ss.npz,base,5b930a66a8395c000594b29b,same_source,inside,,259.2,8.86,330.87,0.936,1246,1.0,0.9993,same_source,проверено частично,2666625,g0057,1,
base_pair_5b930a66ea9f_00007_inside.npz,base,5b930a66a8395c000594b29b,orto_basemap,inside,,175.7,1.06,94.5,0.983,1335,1.0,0.9994,cell_refine,проверено частично,1855762,g0057,1,
base_pair_5b930a66ea9f_00008_partial.npz,base,5b930a66a8395c000594b29b,orto_basemap,partial,,243.0,2.43,70.67,0.876,1871,0.8047,0.8071,global,проверено частично,2296416,g0057,1,
base_pair_5b930a66ea9f_00009_inside.npz,base,5b930a66a8395c000594b29b,orto_basemap,inside,,227.6,5.87,239.39,1.104,1801,1.0,0.9944,global,проверено частично,2108414,g0057,1,
base_pair_5b930a66ea9f_00010_inside.npz,base,5b930a66a8395c000594b29b,orto_basemap,inside,,214.1,7.75,207.61,1.116,1612,1.0,0.9937,cell_refine,проверено частично,2717269,g0057,1,
base_pair_5b930a66ea9f_00011_inside.npz,base,5b930a66a8395c000594b29b,orto_basemap,inside,,191.6,2.95,182.18,1.034,1918,1.0,0.9923,cell_refine,проверено частично,2695833,g0057,1,
base_pair_628f85cb173f_00000_inside.npz,base,628f85cb9a80b30006a5c06b,orto_basemap,inside,,193.0,4.23,341.51,0.829,1227,1.0,0.9998,field,разметка подтверждена,1757567,g0340,1,
base_pair_628f85cb173f_00001_partial.npz,base,628f85cb9a80b30006a5c06b,orto_basemap,partial,,231.7,2.03,48.26,0.996,768,0.6843,0.6949,field,разметка подтверждена,1299133,g0340,1,
base_pair_628f85cb173f_00002_partial.npz,base,628f85cb9a80b30006a5c06b,orto_basemap,partial,,209.6,5.16,57.83,0.901,950,0.8489,0.8421,field,разметка подтверждена,2024762,g0340,1,
base_pair_628f85cb173f_00003_inside.npz,base,628f85cb9a80b30006a5c06b,orto_basemap,inside,,232.4,8.53,22.45,0.941,1214,1.0,1.0,field,разметка подтверждена,2129851,g0340,1,
base_pair_628f85cb173f_00004_partial.npz,base,628f85cb9a80b30006a5c06b,orto_basemap,partial,,273.4,1.91,68.98,1.149,1623,0.847,0.853,field,разметка подтверждена,2364290,g0340,1,
base_pair_628f85cb173f_00005_inside.npz,base,628f85cb9a80b30006a5c06b,orto_basemap,inside,,265.0,2.15,300.8,1.132,1384,1.0,0.9997,field,разметка подтверждена,2138901,g0340,1,
base_pair_628f85cb173f_00006_inside_ss.npz,base,628f85cb9a80b30006a5c06b,same_source,inside,,259.2,8.86,330.87,0.936,1246,1.0,0.9947,same_source,разметка подтверждена,2708155,g0340,1,
base_pair_628f85cb173f_00007_inside.npz,base,628f85cb9a80b30006a5c06b,orto_basemap,inside,,175.7,1.06,94.5,0.755,1025,1.0,0.9999,cell_refine,разметка подтверждена,1665728,g0340,1,
base_pair_628f85cb173f_00008_partial.npz,base,628f85cb9a80b30006a5c06b,orto_basemap,partial,,243.0,2.43,70.67,0.876,1871,0.8047,0.8074,field,разметка подтверждена,2408785,g0340,1,
base_pair_628f85cb173f_00009_inside.npz,base,628f85cb9a80b30006a5c06b,orto_basemap,inside,,227.6,5.87,239.39,0.978,1595,1.0,0.9998,field,разметка подтверждена,2136634,g0340,1,
base_pair_628f85cb173f_00010_inside.npz,base,628f85cb9a80b30006a5c06b,orto_basemap,inside,,214.1,7.75,207.61,0.92,1329,1.0,0.9997,global,разметка подтверждена,2506951,g0340,1,
base_pair_628f85cb173f_00011_inside.npz,base,628f85cb9a80b30006a5c06b,orto_basemap,inside,,191.6,2.95,182.18,0.823,1527,1.0,0.9999,global,разметка подтверждена,2305748,g0340,1,
base_pair_5f7865a30680_00000_inside.npz,base,5f7865a3458b56000772be4a,orto_basemap,inside,,193.0,4.23,341.51,0.993,1469,1.0,0.9991,field,разметка подтверждена,2311443,g0216,1,
base_pair_5f7865a30680_00001_partial.npz,base,5f7865a3458b56000772be4a,orto_basemap,partial,,231.7,2.03,48.26,1.113,847,0.6782,0.6884,field,разметка подтверждена,1560826,g0216,1,
base_pair_5f7865a30680_00002_partial.npz,base,5f7865a3458b56000772be4a,orto_basemap,partial,,209.6,5.16,57.83,1.068,1127,0.8492,0.8417,field,разметка подтверждена,2361599,g0216,1,
base_pair_5f7865a30680_00003_inside.npz,base,5f7865a3458b56000772be4a,orto_basemap,inside,,232.4,8.53,22.45,0.941,1214,1.0,0.9981,field,разметка подтверждена,2433567,g0216,1,
base_pair_5f7865a30680_00004_partial.npz,base,5f7865a3458b56000772be4a,orto_basemap,partial,,273.4,1.91,68.98,1.149,1623,0.847,0.8527,field,разметка подтверждена,2835770,g0216,1,
base_pair_5f7865a30680_00005_inside.npz,base,5f7865a3458b56000772be4a,orto_basemap,inside,,265.0,2.15,300.8,1.132,1384,1.0,0.9994,field,разметка подтверждена,2408635,g0216,1,
base_pair_5f7865a30680_00006_inside_ss.npz,base,5f7865a3458b56000772be4a,same_source,inside,,259.2,8.86,330.87,0.936,1246,1.0,0.9994,same_source,разметка подтверждена,2654304,g0216,1,
base_pair_5f7865a30680_00007_inside.npz,base,5f7865a3458b56000772be4a,orto_basemap,inside,,175.7,1.06,94.5,0.983,1335,1.0,0.9944,field,разметка подтверждена,2060393,g0216,1,
base_pair_5f7865a30680_00008_partial.npz,base,5f7865a3458b56000772be4a,orto_basemap,partial,,243.0,2.43,70.67,0.876,1871,0.8047,0.8068,field,разметка подтверждена,2975074,g0216,1,
base_pair_5f7865a30680_00009_inside.npz,base,5f7865a3458b56000772be4a,orto_basemap,inside,,227.6,5.87,239.39,1.104,1801,1.0,0.9992,field,разметка подтверждена,2665326,g0216,1,
base_pair_5f7865a30680_00010_inside.npz,base,5f7865a3458b56000772be4a,orto_basemap,inside,,214.1,7.75,207.61,1.116,1612,1.0,0.9931,global,разметка подтверждена,3139481,g0216,1,
base_pair_5f7865a30680_00011_inside.npz,base,5f7865a3458b56000772be4a,orto_basemap,inside,,191.6,2.95,182.18,1.034,1918,1.0,0.9954,global,разметка подтверждена,3324159,g0216,1,
base_pair_60c2f011c2b9_00000_inside.npz,base,60c2f011c3b42f000788d320,orto_basemap,inside,,193.0,4.23,341.51,0.993,1469,1.0,0.9494,field,разметка подтверждена,2485069,g0287,1,
base_pair_60c2f011c2b9_00001_partial.npz,base,60c2f011c3b42f000788d320,orto_basemap,partial,,231.7,2.03,48.26,1.113,847,0.6782,0.6856,field,разметка подтверждена,1538821,g0287,1,
base_pair_60c2f011c2b9_00002_partial.npz,base,60c2f011c3b42f000788d320,orto_basemap,partial,,209.6,5.16,57.83,1.068,1127,0.8492,0.8301,field,разметка подтверждена,2435471,g0287,1,
base_pair_60c2f011c2b9_00003_inside.npz,base,60c2f011c3b42f000788d320,orto_basemap,inside,,232.4,8.53,22.45,0.941,1214,1.0,0.993,field,разметка подтверждена,2380211,g0287,1,
base_pair_60c2f011c2b9_00004_partial.npz,base,60c2f011c3b42f000788d320,orto_basemap,partial,,273.4,1.91,68.98,1.149,1623,0.847,0.8078,field,разметка подтверждена,2829520,g0287,1,
base_pair_60c2f011c2b9_00005_inside.npz,base,60c2f011c3b42f000788d320,orto_basemap,inside,,265.0,2.15,300.8,1.132,1384,1.0,0.9582,field,разметка подтверждена,2387704,g0287,1,
base_pair_60c2f011c2b9_00006_inside_ss.npz,base,60c2f011c3b42f000788d320,same_source,inside,,259.2,8.86,330.87,0.936,1246,1.0,0.9992,same_source,разметка подтверждена,2861690,g0287,1,
base_pair_60c2f011c2b9_00007_inside.npz,base,60c2f011c3b42f000788d320,orto_basemap,inside,,175.7,1.06,94.5,0.983,1335,1.0,0.9625,field,разметка подтверждена,2197573,g0287,1,
base_pair_60c2f011c2b9_00008_partial.npz,base,60c2f011c3b42f000788d320,orto_basemap,partial,,243.0,2.43,70.67,0.876,1871,0.8047,0.7807,field,разметка подтверждена,2956531,g0287,1,
base_pair_60c2f011c2b9_00009_inside.npz,base,60c2f011c3b42f000788d320,orto_basemap,inside,,227.6,5.87,239.39,1.104,1801,1.0,0.9885,field,разметка подтверждена,2585017,g0287,1,
base_pair_60c2f011c2b9_00010_inside.npz,base,60c2f011c3b42f000788d320,orto_basemap,inside,,214.1,7.75,207.61,1.116,1612,1.0,0.9451,field,разметка подтверждена,3281634,g0287,1,
base_pair_60c2f011c2b9_00011_inside.npz,base,60c2f011c3b42f000788d320,orto_basemap,inside,,191.6,2.95,182.18,1.034,1918,1.0,0.9369,field,разметка подтверждена,3497425,g0287,1,
base_pair_5baea3d5176f_00000_inside.npz,base,5baea3d539d64d0005437531,orto_basemap,inside,,193.0,4.23,341.51,0.993,1469,1.0,0.9937,field,разметка подтверждена,2171470,g0069,1,
base_pair_5baea3d5176f_00001_partial.npz,base,5baea3d539d64d0005437531,orto_basemap,partial,,231.7,2.03,48.26,1.113,847,0.6782,0.6819,field,разметка подтверждена,1534054,g0069,1,
base_pair_5baea3d5176f_00002_partial.npz,base,5baea3d539d64d0005437531,orto_basemap,partial,,209.6,5.16,57.83,1.068,1127,0.8492,0.8424,field,разметка подтверждена,2346215,g0069,1,
base_pair_5baea3d5176f_00003_inside.npz,base,5baea3d539d64d0005437531,orto_basemap,inside,,232.4,8.53,22.45,0.941,1214,1.0,1.0,field,разметка подтверждена,2391466,g0069,1,
base_pair_5baea3d5176f_00004_partial.npz,base,5baea3d539d64d0005437531,orto_basemap,partial,,273.4,1.91,68.98,1.149,1623,0.847,0.853,field,разметка подтверждена,2550822,g0069,1,
base_pair_5baea3d5176f_00005_inside.npz,base,5baea3d539d64d0005437531,orto_basemap,inside,,265.0,2.15,300.8,1.132,1384,1.0,0.9998,field,разметка подтверждена,2257230,g0069,1,
base_pair_5baea3d5176f_00006_inside_ss.npz,base,5baea3d539d64d0005437531,same_source,inside,,259.2,8.86,330.87,0.936,1246,1.0,0.9997,same_source,разметка подтверждена,2774195,g0069,1,
base_pair_5baea3d5176f_00007_inside.npz,base,5baea3d539d64d0005437531,orto_basemap,inside,,175.7,1.06,94.5,0.983,1335,1.0,1.0,field,разметка подтверждена,1959979,g0069,1,
base_pair_5baea3d5176f_00008_partial.npz,base,5baea3d539d64d0005437531,orto_basemap,partial,,243.0,2.43,70.67,0.876,1871,0.8047,0.8074,field,разметка подтверждена,2674251,g0069,1,
base_pair_5baea3d5176f_00009_inside.npz,base,5baea3d539d64d0005437531,orto_basemap,inside,,227.6,5.87,239.39,1.104,1801,1.0,1.0,field,разметка подтверждена,2290119,g0069,1,
base_pair_5baea3d5176f_00010_inside.npz,base,5baea3d539d64d0005437531,orto_basemap,inside,,214.1,7.75,207.61,1.116,1612,1.0,0.9974,global,разметка подтверждена,2837325,g0069,1,
base_pair_5baea3d5176f_00011_inside.npz,base,5baea3d539d64d0005437531,orto_basemap,inside,,191.6,2.95,182.18,1.034,1918,1.0,0.9988,global,разметка подтверждена,2830805,g0069,1,
base_pair_6a26f25a1637_00000_inside.npz,base,6a26f25af1c2b55eb679e3d0,orto_basemap,inside,,193.0,4.23,341.51,0.993,1469,1.0,1.0,cell_refine,разметка подтверждена,2330720,g0541,1,
base_pair_6a26f25a1637_00001_partial.npz,base,6a26f25af1c2b55eb679e3d0,orto_basemap,partial,,231.7,2.03,48.26,1.113,847,0.6782,0.6888,cell_refine,разметка подтверждена,1530186,g0541,1,
base_pair_6a26f25a1637_00002_partial.npz,base,6a26f25af1c2b55eb679e3d0,orto_basemap,partial,,209.6,5.16,57.83,1.068,1127,0.8492,0.8424,field,разметка подтверждена,2287838,g0541,1,
