scene,modality,pairs,gray_frac,smooth,источник
5b9c42aa027d99000615b26b,photo,12,0.0129,1.28158,автоматически
5b9edfb6e7efd00008985454,photo,8,0.0036,1.37023,автоматически
5ba2d678a7627100062e451f,photo,3,0.0276,1.5411,автоматически
5ba3b08a15f7f7000547a300,photo,3,0.0056,1.08517,автоматически
5ba52d4de28fc60007fe40e5,photo,18,0.0175,1.26298,автоматически
5ba7587f90b744000796bc6b,photo,1,0.0173,1.49432,автоматически
5baea3d539d64d0005437531,photo,21,0.0061,1.32171,автоматически
5baf3d6ea28dc0000543f05e,photo,12,0.0097,0.95066,автоматически
5bb0b6f7a28dc0000543f084,photo,15,0.0073,1.53032,автоматически
5bb1422a7e1a410005fd2ec1,photo,2,0.0094,1.50494,автоматически
5bb146e67e1a410005fd2ec5,photo,6,0.0102,1.40166,автоматически
5bbe1ddc0ab77f0005240dc3,photo,15,0.0041,1.67642,автоматически
5bbe661afb2814000612341d,photo,12,0.0134,1.49257,автоматически
5bbe6dfdfb28140006123420,photo,15,0.0174,1.46128,автоматически
5bc117f6c7e1cf0008e45e24,photo,20,0.0105,2.13416,автоматически
5bc12434c7e1cf0008e45e27,photo,19,0.0087,1.76182,автоматически
5bc3234e408eba0008a5dd74,photo,7,0.0191,1.26581,автоматически
5bc701b34d3b1b00050eeebc,photo,15,0.004,1.5526,автоматически
5bcef090b9e5f20005f7da52,photo,15,0.0062,1.53014,автоматически
5bd17860007b56000739580a,photo,20,0.0039,1.82198,автоматически
5bd178f5007b56000739580c,photo,19,0.0037,1.69862,автоматически
5bd71b0f40de3f0005f21520,photo,18,0.0064,1.67678,автоматически
5bd7743b40de3f0005f2152c,photo,19,0.0087,1.6398,автоматически
5bdf80ef430b4d000569fa17,photo,9,0.0116,1.43382,автоматически
5be158eb430b4d000569fa2c,photo,15,0.0054,1.31984,автоматически
5bfc5db81c3b5c00053c54a9,photo,7,0.0116,1.2032,автоматически
5bfd016cd000e50005adbbbb,photo,18,0.0045,1.40495,автоматически
5c040c0aba373f00057c8191,photo,15,0.0018,1.07464,автоматически
5c450aa780fb36000543e2e6,photo,19,0.0133,1.61896,автоматически
5c48908c9713e40005fd4010,photo,15,0.0075,1.78638,автоматически
5c4ae075201b5a0007147677,photo,15,0.0083,1.51672,автоматически
5c4b46f820749e000765314f,photo,3,0.023,1.60023,автоматически
5c4dba61928b840005eb731b,photo,7,0.0059,1.08076,автоматически
5ca3fd06e5635f000690af71,photo,12,0.0029,1.18949,автоматически
5ca8677f869304000746b494,photo,12,0.0007,0.98914,автоматически
5cb6fee086413a0005372de9,photo,3,0.0046,1.20049,автоматически
5cb7028a86413a0005372dec,photo,8,0.0056,1.39766,автоматически
5cb7cc3d86413a0005372e03,photo,12,0.0011,1.29139,автоматически
5cb7cd8586413a0005372e06,photo,5,0.0046,1.04395,автоматически
5cb8e55586413a0005372e1b,photo,7,0.0038,1.1446,автоматически
5cbb021201b3800006f2abfd,photo,10,0.0048,1.58701,автоматически
5cbccbadd951f000055fdf5c,photo,18,0.0028,1.23141,автоматически
5cc4f6c69c4e1700060da680,photo,20,0.0021,1.34849,автоматически
5cc5d2ae9c4e1700060da68c,photo,13,0.002,1.16664,автоматически
5cd99a5a1987090005cd5cbf,pan,1,1.0,1.72134,глазами
5cec32974eaca00005a57243,pan,1,1.0,1.6233,глазами
5d1745f91d75e300053385e7,photo,18,0.0041,1.35171,автоматически
5d1d475093e1130005fc0ec8,photo,1,0.0011,0.79957,автоматически
5d3f4453db56bc0007420e23,pan,2,1.0,0.74335,глазами
5d53211227b32f0007cd8aaa,pan,4,1.0,0.81608,глазами
5d58a6fe2da0670007a57e4b,pan,4,1.0,1.0406,глазами
5d692dbd2103c90007707f95,photo,15,0.0027,1.14981,автоматически
5d6936a72103c90007707f98,photo,15,0.0039,1.2601,автоматически
5d891dd7c54930000548a7ae,photo,12,0.0023,1.34522,автоматически
5d897e44c54930000548a7bc,photo,18,0.0015,1.29361,автоматически
5d8cab77abcfaa0008b1d26a,photo,1,0.0073,1.47245,автоматически
5d8fd6ebd014d80007e40198,pan,5,1.0,1.48135,глазами
5d9a7d160ca8d70007c491e5,photo,6,0.0047,1.09139,автоматически
5dae8f8573c69f000530ee70,photo,12,0.0575,1.7675,автоматически
5dae8ffe73c69f000530ee73,photo,23,0.0046,1.40304,автоматически
5ddb9e3baff195000554e7e6,photo,19,0.0037,1.1688,автоматически
5ddf372b0140b80006d2e57d,photo,6,0.001,1.00113,автоматически
5ddfc4760c04590006d33590,photo,9,0.0069,1.43805,автоматически
5de444f1a9ab930007f2bca5,photo,3,0.0026,0.94833,автоматически
5de55a0ab3b5ce0006c2d95f,photo,2,0.0115,1.0051,автоматически
5de80e4f2290870005e599b2,photo,2,0.0012,1.77306,автоматически
5de9c912467d290007831521,photo,2,0.0018,1.76234,автоматически
5dec5913467d29000783154d,photo,21,0.0006,1.4936,автоматически
5e068ec505e6590005c2f719,photo,6,0.0064,1.28585,автоматически
5e1d7f15835ed6000603f489,photo,3,0.0042,1.16289,автоматически
5e232ad350259f000541fc50,photo,6,0.0013,1.12339,автоматически
5e232d6250259f000541fc56,photo,3,0.0212,0.94297,автоматически
5e23306050259f000541fc5c,photo,6,0.0363,0.84493,автоматически
5e23322650259f000541fc5f,photo,6,0.0033,1.16963,автоматически
5e28a0512329e800051134a4,photo,6,0.0034,1.33459,автоматически
5e299549dcb4a600056102a4,photo,3,0.0097,1.1551,автоматически
5e45c7fb7e48a900058144f5,photo,3,0.0334,1.07294,автоматически
5e570a042408ff000614bb81,photo,12,0.0049,1.08118,автоматически
5e570a562408ff000614bb83,photo,3,0.0051,1.14362,автоматически
5e570a9b2408ff000614bb85,photo,9,0.0057,1.13277,автоматически
5e67af4ae82eb700055028d4,photo,3,0.0533,0.90331,автоматически
5e6ec2638c5f5b000536548f,photo,6,0.0036,1.30711,автоматически
5e72b9f3133f1a000511beac,photo,12,0.0016,0.91252,автоматически
5e789398ea363b0005373f2a,photo,20,0.0036,1.27734,автоматически
5e794503ea363b0005373f45,photo,1,0.0059,0.95634,автоматически
5e7945b5ea363b0005373f47,photo,4,0.0051,1.02408,автоматически
5e7e8c28482b9c0006178445,photo,5,0.0063,1.16339,автоматически
5e7f562c482b9c000617844c,photo,12,0.0065,1.14577,автоматически
5e7fe549482b9c0006178456,photo,15,0.0069,1.17436,автоматически
5e828a988c03310007a824db,photo,8,0.0055,1.1519,автоматически
5e833fe4667e5200066e42e5,photo,12,0.0028,0.88112,автоматически
5e906c0ac6bbac0005e30fad,photo,12,0.0121,1.06276,автоматически
5e90754ac6bbac0005e30fb0,photo,15,0.0074,1.04524,автоматически
5e90ac3bc6bbac0005e30fb9,photo,9,0.005,1.28797,автоматически
5e92dd33c6bbac0005e30fd4,photo,6,0.0068,1.55211,автоматически
5ea1c05a411bed00056803b4,photo,1,0.0069,1.0701,автоматически
5ea40596c70abb0005869e99,photo,23,0.0131,1.71866,автоматически
5ea6bfb83295f300072a6cf6,photo,1,0.0118,1.22061,автоматически
5ea6e1e93295f300072a6cfd,photo,15,0.0174,1.45932,автоматически
5ea97aff3295f300072a6d1e,photo,1,0.0238,1.68028,автоматически
5ea9d5173295f300072a6d26,photo,3,0.0066,1.20024,автоматически
5ead82d93295f300072a6d7b,photo,12,0.0045,1.45289,автоматически
5eadda503295f300072a6d87,photo,20,0.0095,1.68565,автоматически
5eb5cf68ba92740006ad67ae,photo,3,0.0113,1.49733,автоматически
5ebfef58aff5010005865be5,photo,1,0.0033,1.12038,автоматически
5ec23f22aff5010005865c14,photo,12,0.0032,1.50214,автоматически
5ec3c777aff5010005865c4c,photo,19,0.0045,1.40899,автоматически
5ec3c813aff5010005865c4e,photo,5,0.0069,1.08613,автоматически
5ec3c88caff5010005865c50,photo,12,0.0047,1.4093,автоматически
5ec5c418e3882d00079e72bb,photo,23,0.0088,1.24355,автоматически
5ec6fcd7f62f370006df340d,photo,15,0.0044,1.28747,автоматически
5ec8b033f62f370006df341f,photo,3,0.0199,1.16042,автоматически
5ecb0947f62f370006df3439,photo,19,0.0103,1.53352,автоматически
5ece627e57676e00057f5808,photo,18,0.0506,1.00895,автоматически
5ed8cb8e350cfa0006925543,photo,12,0.0077,1.47259,автоматически
5ed8f423350cfa0006925547,photo,20,0.0542,1.20404,автоматически
5ed9077b350cfa000692554a,photo,18,0.063,0.94893,автоматически
5ee8b7583665d400065957e6,photo,25,0.0123,1.64728,автоматически
5ef0af5edc40b50005b6f1c4,photo,27,0.0032,1.16815,автоматически
5ef0bff5dc40b50005b6f1dd,photo,12,0.0022,1.7119,автоматически
5ef7339d8aefa40005354460,photo,13,0.007,1.45306,автоматически
5ef9c7368aefa4000535449f,photo,24,0.0055,1.82854,автоматически
5f09be59577f160006c1ab65,photo,12,0.003,1.14492,автоматически
5f0c72373c18aa0005a4ca68,photo,15,0.0008,1.80379,автоматически
5f1344f8baa90f0006a0ab2b,photo,12,0.0005,1.21168,автоматически
5f163dd9baa90f0006a0ab52,photo,27,0.0114,2.05971,автоматически
5f293b4fb0052e00067dbabf,photo,3,0.0185,1.20651,автоматически
5f2c8c050d59fe00057c327b,photo,27,0.0042,1.26747,автоматически
5f2c8c3c0d59fe00057c327d,photo,16,0.0,1.18568,автоматически
5f2d85660d59fe00057c328b,photo,21,0.0035,1.43121,автоматически
5f2ea0110d59fe00057c3296,photo,27,0.0102,1.51145,автоматически
5f2fb1640d59fe00057c32a7,photo,9,0.0004,0.95745,автоматически
5f3064e40d59fe00057c32f2,photo,1,0.0143,0.95771,автоматически
5f38a08cdf88ab000761cb1c,photo,24,0.0103,1.275,автоматически
5f3f96b8a646430007b2ac90,photo,27,0.0078,1.95623,автоматически
5f42833dc48e06000593275b,photo,27,0.0142,1.70697,автоматически
5f478d02f4b82d0005a702b2,photo,1,0.0135,1.29963,автоматически
5f4abfb9ce55190005b826d8,photo,1,0.0296,1.01139,автоматически
5f52e87a5c810b0006d4f2f6,photo,24,0.0029,1.55161,автоматически
5f5ef3d0d9f87200078c7f42,photo,3,0.009,1.37939,автоматически
5f5f510fd9f87200078c7f48,photo,12,0.012,1.6453,автоматически
5f5f66a6d9f87200078c7f4b,photo,27,0.0034,1.46915,автоматически
5f60702ad9f87200078c7f64,photo,3,0.0241,1.2684,автоматически
5f6097f9d9f87200078c7f6a,photo,6,0.0191,1.27937,автоматически
5f619002d9f87200078c7f76,photo,7,0.0142,1.35425,автоматически
5f61ffb682c1c7000508d8c6,photo,18,0.002,1.3209,автоматически
5f62e03f9d06cc000624327e,photo,6,0.0069,1.24144,автоматически
5f69d17a71d1f60005e6ab70,photo,24,0.0131,1.57158,автоматически
5f6aea9e71d1f60005e6ab87,photo,15,0.0118,1.67783,автоматически
5f6af12971d1f60005e6ab8a,photo,6,0.017,1.36894,автоматически
5f6c4bf171d1f60005e6abaf,photo,1,0.0072,1.40107,автоматически
5f75536261151700054968d0,photo,9,0.0033,1.11322,автоматически
5f75ec1d458b56000772bd59,photo,216,0.0114,1.64022,автоматически
5f75ec39458b56000772bd5b,photo,27,0.0001,1.40476,автоматически
5f76f866458b56000772bd82,photo,27,0.0175,1.63948,автоматически
5f7865a3458b56000772be4a,photo,27,0.0108,1.46022,автоматически
5f79a2f7458b56000772beef,photo,27,0.0153,1.5756,автоматически
5f79e840458b56000772bef8,photo,9,0.0073,1.85183,автоматически
5f7c836968aff80007e79863,photo,27,0.0161,1.88334,автоматически
5f7c839768aff80007e79865,photo,27,0.0003,2.3803,автоматически
5f7d9f287eaf6400054c9aa6,photo,16,0.0063,1.54854,автоматически
5f8132727eaf6400054c9ad0,photo,6,0.0514,1.00574,автоматически
5f84b7a27d446d0005fa816c,photo,12,0.0121,1.77808,автоматически
5f8571bf7d446d0005fa8174,photo,20,0.0015,1.88506,автоматически
5f96670b8ff39200079920cf,photo,3,0.007,1.30959,автоматически
5f9bc33b1b48e50005418620,photo,1,0.004,1.45985,автоматически
5f9fe214d3a8ab0007ea6a5d,photo,4,0.0101,1.09885,автоматически
5f9fe231d3a8ab0007ea6a5f,photo,4,0.0003,1.14769,автоматически
5fac2fcd3729bf000552677d,photo,16,0.0093,1.79019,автоматически
5fac68733729bf0005526787,photo,3,0.0109,1.21672,автоматически
5faf02dd1d7a180007e702e3,photo,18,0.0101,1.21132,автоматически
5faff8ddf5b34900056e78a8,photo,2,0.0215,1.23843,автоматически
5fb4faaed89ab70006abc9ff,photo,6,0.0645,1.54211,автоматически
5fb4fc23d89ab70006abca02,photo,9,0.0125,1.2595,автоматически
5fb6367c68af790007275a60,photo,6,0.0124,1.30424,автоматически
5fbdd4181f79c3000788a402,photo,2,0.3258,1.67817,автоматически
5fc40f625c0a9300055a0c12,photo,6,0.2327,1.03095,автоматически
5fc4341092e0140005b38bdd,photo,6,0.0126,1.68849,автоматически
5fc6b5caf9298000076927d6,photo,1,0.048,1.43941,автоматически
5fc8cf409f1a06000550fbf5,photo,6,0.0443,1.33034,автоматически
5fceaa09fe0bb90007e29cd9,photo,18,0.3617,0.51834,автоматически
5fd0a4f9518312000570c750,photo,1,0.0081,1.4994,автоматически
5fd11d83380db000052582e9,photo,4,0.4398,0.3408,автоматически
5fd5424c2284b600061b3a27,photo,7,0.3068,0.69514,автоматически
5fe46bce7db4cf0005cd4c27,photo,12,0.0183,1.54282,автоматически
5ff5a4c938bfed0005ea56fa,photo,2,0.0282,1.20843,автоматически
5ff84224474d8300067bfa3d,photo,12,0.0104,1.5595,автоматически
5ff8bb52faaf080006252dc0,photo,6,0.0227,1.12475,автоматически
600da99ca0f00700052c5c29,photo,2,0.0614,0.84992,автоматически
60111204-92b7-47ed-b4b4-b65d4c355750,photo,3,0.0038,1.36804,автоматически
6016e1d3b57e47000824b6e8,photo,3,0.1608,1.36783,автоматически
601ef707c4550c00050ee5ba,photo,3,0.0031,1.13986,автоматически
601fb56911ebb30007261104,photo,6,0.011,1.33293,автоматически
602396b25415b40006e6fe5a,photo,12,0.0252,1.76221,автоматически
60315bf7d9c7c8000504d2ca,photo,1,0.0172,1.50457,автоматически
6038d48599a416000668993d,photo,6,0.0216,1.39561,автоматически
60442262b0161f0005391ae6,photo,15,0.0216,1.94265,автоматически
605755636741be0007357111,photo,9,0.0085,1.63926,автоматически
606192cdeeae3c0006930050,photo,5,0.0598,0.71916,автоматически
6066cd43d8a0ef00061b9507,photo,9,0.0158,1.18467,автоматически
60729456e618d50005a98185,photo,3,0.0277,1.08365,автоматически
60729564e618d50005a98187,photo,15,0.0076,1.22777,автоматически
60743399b09f2e0009d46bf9,photo,23,0.0113,1.83333,автоматически
60748a35b09f2e0009d46bfe,photo,9,0.0133,1.27483,автоматически
607b6049bfb5350008e6658e,photo,9,0.0127,1.56236,автоматически
607bd0a2bfb5350008e66596,photo,2,0.0124,1.19214,автоматически
607c901cbfb5350008e665b1,photo,1,0.0055,0.82272,автоматически
607ec4fc5415000005a52839,photo,22,0.0068,1.82797,автоматически
607f3e045415000005a52848,photo,9,0.0142,1.37893,автоматически
6082f37b2e77e600076c9b7d,photo,1,0.1538,0.53527,автоматически
608324da2e77e600076c9b84,photo,15,0.0172,1.59535,автоматически
60945e8a1d9e95000527c832,photo,1,0.0117,1.09836,автоматически
6094a30ea7084000062e0497,photo,7,0.6197,0.33784,автоматически
6098f3325277360006c5bf72,photo,18,0.0089,1.1484,автоматически
6098f34b5277360006c5bf74,photo,7,0.0001,1.10585,автоматически
609ab900924d4600052699aa,photo,3,0.0124,1.39381,автоматически
609b53603ac764000718b29d,photo,6,0.0453,1.14735,автоматически
609d746c3ac764000718b2b4,photo,9,0.011,1.99471,автоматически
60a2302b25820c0005e458d3,photo,6,0.0046,1.5204,автоматически
60a234d925820c0005e458d6,photo,9,0.015,1.12266,автоматически
60b0cb4ea9600f000845813f,photo,18,0.0153,1.49364,автоматически
60b29cc7a9600f0008458160,photo,6,0.0049,1.59939,автоматически
60b815e7fd80620005e340f1,photo,27,0.0014,2.42316,автоматически
60ba7163f59a4300057c54f1,photo,4,0.0022,0.90337,автоматически
60bd650cbf1e3700068051dd,photo,22,0.0028,2.05025,автоматически
60c06e83ace22e0007396bc0,photo,22,0.0085,1.46344,автоматически
60c2f011c3b42f000788d320,photo,23,0.0102,1.70497,автоматически
60c8f084338cc80005cfdd57,photo,12,0.0059,1.03279,автоматически
60c8f4fc338cc80005cfdd5a,photo,12,0.0095,1.41466,автоматически
60cf473beade0f00079b5865,photo,25,0.0063,1.37214,автоматически
60d058a2eade0f00079b5878,photo,25,0.0042,1.87959,автоматически
60d10f02eade0f00079b5893,photo,24,0.0015,1.48514,автоматически
60d5838ec700c600080d551a,photo,27,0.007,1.65441,автоматически
60d6df62c700c600080d5530,photo,1,0.0059,1.40187,автоматически
60d6e7c6c700c600080d5533,photo,24,0.0155,1.611,автоматически
60e308aee217da0008c2a6d4,photo,16,0.0045,1.82581,автоматически
60e423fb5bc2dc00058bbdde,photo,21,0.0058,1.36207,автоматически
60ef5d8589ec130007b82886,photo,12,0.0058,0.79275,автоматически
60f0a1cb89ec130007b828a7,photo,3,0.0095,0.93771,автоматически
60f45df142311e0006681a1c,photo,8,0.2802,0.39122,автоматически
60f5f74842311e0006681a3b,photo,16,0.0029,1.71197,автоматически
60fd36975a90f10006fd2fdb,photo,27,0.0069,1.51394,автоматически
6101115d5a90f10006fd3034,photo,27,0.0026,1.55148,автоматически
611407aaac1a340005a1cd04(1),photo,9,0.0099,2.21576,автоматически
61187779ac1a340005a1cd5a,photo,2,0.4061,0.47348,автоматически
612be372b7012200056b5d01,photo,15,0.0023,1.29067,автоматически
614c50a18c56070006259d51,photo,1,0.0095,1.1,автоматически
6150e486e4643000072876c5,photo,6,0.265,0.48439,автоматически
615773fedef645000782b7d5,photo,27,0.0052,1.4345,автоматически
6157742ddef645000782b7d7,photo,26,0.0003,1.37683,автоматически
6165688fea4de60007d530b7,photo,26,0.0047,2.15909,автоматически
6174b6e73b51b90006e0e79c,photo,1,0.0056,1.51259,автоматически
6177c495d89d970005d8bcef,photo,6,0.0049,1.36956,автоматически
617e902f8ebcb9000515c508,photo,20,0.0415,1.42137,автоматически
617e9bb88ebcb9000515c50d,photo,12,0.0145,1.21847,автоматически
617e9bb88ebcb9000515c50f,photo,12,0.0082,1.07167,автоматически
617e9bb88ebcb9000515c515,photo,12,0.0142,1.61154,автоматически
617e9bb88ebcb9000515c518,photo,6,0.0221,1.37999,автоматически
617e9bb88ebcb9000515c519,photo,12,0.0105,1.46337,автоматически
6183057f4dc8f300062cb5c1,photo,15,0.0028,1.35091,автоматически
618efcb55024550007345821,photo,17,0.0303,1.06029,автоматически
618f2de25024550007345827,relief,9,1.0,0.45645,глазами
6190d1f3502455000734583b,photo,6,0.0085,1.0671,автоматически
6190d1f3502455000734583f,photo,12,0.0168,1.31943,автоматически
6190d1f35024550007345842,photo,12,0.0044,1.34354,автоматически
6190deab502455000734584a,photo,12,0.0022,1.14127,автоматически
6190deab502455000734584b,photo,9,0.0101,1.38677,автоматически
6190deab502455000734584c,photo,12,0.0093,1.46164,автоматически
6190e6645024550007345854,photo,12,0.0085,1.53936,автоматически
61a418b3ca228100065cb967,photo,4,0.0065,1.46694,автоматически
61b9d9d7b26de1000596d623,photo,6,0.0141,1.86451,автоматически
61b9e5f2b26de1000596d62b,relief,6,1.0,0.6433,глазами
6218e2a8bce7900007da3871,photo,2,0.004,1.45078,автоматически
62272fdd1ea0da00077c0c7d,photo,6,0.018,0.97697,автоматически
62273be91ea0da00077c0c85,photo,12,0.0119,1.11049,автоматически
6234231a-6b93-4202-9bc1-36a7e305ab5e,photo,22,0.0027,1.29348,автоматически
623b3417a730db0006b0816c,photo,1,0.0182,1.321,автоматически
625193c4fe1b5d0006ae8cf5,photo,21,0.0144,1.11222,автоматически
6251996ffe1b5d0006ae8cfb,photo,9,0.0182,1.37622,автоматически
62542574fe1b5d0006ae8d25,photo,27,0.0127,1.60253,автоматически
6255f9225c48220007e7c9a8,photo,27,0.0093,1.17466,автоматически
625ec7d280c7950007509c34,photo,3,0.0083,1.13309,автоматически
628f7cf69a80b30006a5c065,photo,15,0.0044,1.34782,автоматически
628f85cb9a80b30006a5c06b,photo,26,0.0023,1.43735,автоматически
629208c39a80b30006a5c083,photo,18,0.0119,1.26549,автоматически
62b72be9daddb8000523e92c,photo,12,0.0146,1.55878,автоматически
62b72dfbdaddb8000523e92f(1),photo,9,0.0279,1.40141,автоматически
62ba0681daddb8000523e95d,photo,12,0.0035,1.70985,автоматически
62d333ad0d6f550007e744b6,photo,18,0.0082,1.07943,автоматически
62dc2af9d8499800053796f3,photo,9,0.0012,1.8396,автоматически
62f65802fb3bec0006dbeb2c,photo,6,0.0021,1.87996,автоматически
6317b7e614f1ff00081de82d,photo,9,0.3991,0.69109,автоматически
6319f0aa14f1ff00081de879,photo,1,0.3495,0.39205,автоматически
631c459c14f1ff00081de8a6,photo,9,0.0083,1.71622,автоматически
632527a29ee90900078a7111,photo,6,0.2165,0.80554,автоматически
6325df679ee90900078a7118,relief,6,1.0,1.30784,глазами
63430bedb771680005735a0c,photo,9,0.0058,1.53019,автоматически
6357bedc5f1fd800066121a2,photo,9,0.028,2.01605,автоматически
636399470769a900054c938a,photo,2,0.0158,1.34127,автоматически
636399470769a900054c938b,photo,1,0.0079,1.28036,автоматически
637274bbcf5a200008023236,photo,3,0.0061,1.07794,автоматически
63a5a79aeb16e8000519a1bc,photo,19,0.0037,1.64997,автоматически
63a5a7dfeb16e8000519a1be,photo,20,0.0055,1.44344,автоматически
63a5a818eb16e8000519a1c2,photo,20,0.0048,1.68161,автоматически
63a5dbcfeb16e8000519a1cc,photo,21,0.0138,1.73388,автоматически
63a9417deb16e8000519a1e3,photo,1,0.0027,1.29459,автоматически
63a956d7eb16e8000519a1e7,photo,1,0.0144,1.88478,автоматически
63a9570deb16e8000519a1e9,photo,12,0.0254,1.51003,автоматически
63a9576beb16e8000519a1ed,photo,2,0.0149,1.75622,автоматически
63a987b63fb8c100063c5518,photo,3,0.0165,2.02353,автоматически
63a987c23fb8c100063c551a,photo,9,0.0243,1.44926,автоматически
63a987ce3fb8c100063c551c,photo,6,0.0301,1.81873,автоматически
63a9ab353fb8c100063c5526,photo,6,0.0156,1.91517,автоматически
63aac2fc3fb8c100063c552f,photo,4,0.0144,1.70226,автоматически
63aac3143fb8c100063c5531,photo,9,0.0192,2.13696,автоматически
63aac3223fb8c100063c5533,photo,4,0.0374,1.71644,автоматически
63aac32f3fb8c100063c5535,photo,1,0.0233,1.49576,автоматически
63ef7dee525f0700077ed4b0,photo,6,0.004,1.6111,автоматически
63f21def525f0700077ed4e3,photo,9,0.02,1.54865,автоматически
640e727fc2655600066c2a5d,photo,27,0.0091,1.76232,автоматически
649751fca2f35c00061c1090,photo,3,0.0013,1.32485,автоматически
64975be1a2f35c00061c1094,photo,2,0.0019,1.6309,автоматически
6497c829a2f35c00061c10a8,photo,6,0.001,1.34611,автоматически
64a42c4064adbc00012e0821,photo,2,0.0012,1.16879,автоматически
64a6cf0664adbc00012e098f,photo,1,0.0009,1.79049,автоматически
64a6cf0664adbc00012e0990,photo,2,0.0013,1.19205,автоматически
64a6cf0664adbc00012e0992,photo,2,0.0008,1.54564,автоматически
64a6cfc864adbc00012e0999,photo,2,0.0015,1.4303,автоматически
64a6d04e64adbc00012e099f(1),photo,1,0.0013,0.8378,автоматически
64cde1d723e51c0001889b09,photo,3,0.0049,1.02282,автоматически
64d984ffb9416b00011edba7,photo,4,0.0048,0.95492,автоматически
64f0b65d41efac0001e4beb1,photo,3,0.003,0.9849,автоматически
650857fff17ffb0001796e6c,photo,15,0.0029,1.00863,автоматически
650ba415bb0a7500019409ec,photo,2,0.0078,0.81161,автоматически
650e3180bb0a750001940a29,photo,3,0.0118,0.67472,автоматически
651a07e0e4368300019cbe5d,photo,1,0.0023,1.24817,автоматически
