pair,corpus,scene,pair_kind,mode,layout,season,height_m,tilt_deg,scale_ratio,covis_frac,b_px,src_split,geo_cluster,split,gt_class,gt_sigma_px,gt_sigma_src,weight,slice,modality,bytes
pair_L01_R0225_asis.npz,ortholoc,L01,frame_dop,asis,partial,,96.3,24.68,0.736,0.8053,640,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,2219854
pair_L01_R0241_asis.npz,ortholoc,L01,frame_dop,asis,partial,,97.7,25.86,0.703,0.9506,768,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,2016022
pair_L01_R0242_asis.npz,ortholoc,L01,frame_dop,asis,partial,,106.1,25.35,0.672,0.9896,896,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,2519771
pair_L01_R0246_asis.npz,ortholoc,L01,frame_dop,asis,partial,,112.5,24.54,0.719,0.8108,768,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,2811221
pair_L01_R0270_asis.npz,ortholoc,L01,frame_dop,asis,inside,,110.1,24.97,0.693,0.9999,1024,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,3304802
pair_L01_R0285_asis.npz,ortholoc,L01,frame_dop,asis,partial,,108.3,25.59,0.744,0.9738,896,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,2633064
pair_L01_R0296_asis.npz,ortholoc,L01,frame_dop,asis,partial,,110.0,24.61,0.671,0.6014,640,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,2272698
pair_L01_R0315_asis.npz,ortholoc,L01,frame_dop,asis,partial,,108.2,24.66,0.675,0.7612,768,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,2481837
pair_L01_R0332_asis.npz,ortholoc,L01,frame_dop,asis,partial,,102.0,24.67,0.698,0.9963,896,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,2543165
pair_L01_R0334_asis.npz,ortholoc,L01,frame_dop,asis,partial,,101.7,24.47,0.697,0.8535,1024,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,2156340
pair_L01_R0335_asis.npz,ortholoc,L01,frame_dop,asis,partial,,108.0,24.83,0.712,0.9633,896,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,3322116
pair_L01_R0337_asis.npz,ortholoc,L01,frame_dop,asis,partial,,102.2,25.32,0.684,0.9936,896,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,2718830
pair_L01_R0339_asis.npz,ortholoc,L01,frame_dop,asis,inside,,109.4,25.26,0.641,1.0,1024,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,3444324
pair_L01_R0371_asis.npz,ortholoc,L01,frame_dop,asis,inside,,98.3,24.45,0.732,1.0,1024,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,2662381
pair_L01_R0371_rect.npz,ortholoc,L01,rect_ortho,rect,partial,,98.3,24.45,1.0,0.7585,896,test_inPlace,c_L01,train,exact,0.1,аналитическая,0.50,inplace,photo,1423238
pair_L01_R0372_asis.npz,ortholoc,L01,frame_dop,asis,partial,,106.6,24.86,0.672,0.8163,640,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,2873750
pair_L01_R0379_asis.npz,ortholoc,L01,frame_dop,asis,partial,,95.9,25.02,0.684,0.9086,768,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,2217289
pair_L01_R0379_rect.npz,ortholoc,L01,rect_ortho,rect,partial,,95.9,25.02,1.0,0.5198,640,test_inPlace,c_L01,train,exact,0.1,аналитическая,0.50,inplace,photo,885480
pair_L01_R0384_asis.npz,ortholoc,L01,frame_dop,asis,partial,,107.8,25.2,0.692,0.8672,768,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,2903291
pair_L01_R0389_asis.npz,ortholoc,L01,frame_dop,asis,inside,,97.9,24.94,0.718,1.0,1024,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,2556522
pair_L01_R0389_rect.npz,ortholoc,L01,rect_ortho,rect,partial,,97.9,24.94,1.0,0.7595,896,test_inPlace,c_L01,train,exact,0.1,аналитическая,0.50,inplace,photo,1304613
pair_L01_R0405_asis.npz,ortholoc,L01,frame_dop,asis,inside,,102.1,24.62,0.631,1.0,1024,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,3380891
pair_L01_R0426_asis.npz,ortholoc,L01,frame_dop,asis,partial,,101.0,25.4,0.728,0.4787,640,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,1600758
pair_L01_R0440_asis.npz,ortholoc,L01,frame_dop,asis,partial,,104.8,25.36,0.721,0.9938,896,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,2526885
pair_L01_R0445_asis.npz,ortholoc,L01,frame_dop,asis,partial,,96.8,24.61,0.665,0.8563,640,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,2164222
pair_L01_R0450_asis.npz,ortholoc,L01,frame_dop,asis,partial,,101.7,25.37,0.682,0.5316,640,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,1748512
pair_L01_R0468_asis.npz,ortholoc,L01,frame_dop,asis,inside,,96.5,25.34,0.685,1.0,1024,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,2602436
pair_L01_R0479_asis.npz,ortholoc,L01,frame_dop,asis,partial,,106.2,24.24,0.722,0.5956,640,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,1712199
pair_L01_R0489_asis.npz,ortholoc,L01,frame_dop,asis,partial,,103.9,25.1,0.681,0.4244,640,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,1823796
pair_L01_R0492_asis.npz,ortholoc,L01,frame_dop,asis,inside,,106.7,24.57,0.651,0.9997,896,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,3254883
pair_L01_R0496_asis.npz,ortholoc,L01,frame_dop,asis,partial,,104.1,24.87,0.671,0.9935,896,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,3155037
pair_L01_R0502_asis.npz,ortholoc,L01,frame_dop,asis,inside,,104.6,25.18,0.668,1.0,1024,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,3436297
pair_L01_R0513_asis.npz,ortholoc,L01,frame_dop,asis,inside,,103.2,24.59,0.678,1.0,1024,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,3382097
pair_L01_R0513_rect.npz,ortholoc,L01,rect_ortho,rect,partial,,103.2,24.59,1.0,0.4749,768,test_inPlace,c_L01,train,exact,0.1,аналитическая,0.50,inplace,photo,1183286
pair_L01_R0531_asis.npz,ortholoc,L01,frame_dop,asis,inside,,113.7,24.99,0.679,0.9998,1024,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,3388007
pair_L01_R0531_rect.npz,ortholoc,L01,rect_ortho,rect,partial,,113.7,24.99,1.0,0.4702,768,test_inPlace,c_L01,train,exact,0.1,аналитическая,0.50,inplace,photo,1123982
pair_L01_R0533_asis.npz,ortholoc,L01,frame_dop,asis,partial,,108.8,24.17,0.671,0.9619,896,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,3146235
pair_L01_R0535_asis.npz,ortholoc,L01,frame_dop,asis,inside,,100.0,24.35,0.666,1.0,1024,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,2888416
pair_L01_R0535_rect.npz,ortholoc,L01,rect_ortho,rect,partial,,100.0,24.35,1.0,0.704,768,test_inPlace,c_L01,train,exact,0.1,аналитическая,0.50,inplace,photo,1124628
pair_L01_R0537_asis.npz,ortholoc,L01,frame_dop,asis,partial,,105.8,24.99,0.742,0.5564,640,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,1966656
pair_L01_R0548_asis.npz,ortholoc,L01,frame_dop,asis,partial,,100.7,24.44,0.746,0.9576,896,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,3174057
pair_L01_R0567_asis.npz,ortholoc,L01,frame_dop,asis,partial,,104.1,24.36,0.679,0.5834,640,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,2142074
pair_L01_R0574_asis.npz,ortholoc,L01,frame_dop,asis,inside,,100.0,25.27,0.726,1.0,1024,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,2409110
pair_L01_R0580_asis.npz,ortholoc,L01,frame_dop,asis,inside,,99.4,25.16,0.668,1.0,1024,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,2376280
pair_L01_R0587_asis.npz,ortholoc,L01,frame_dop,asis,inside,,104.6,24.61,0.706,1.0,1024,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,3504942
pair_L01_R0591_asis.npz,ortholoc,L01,frame_dop,asis,partial,,107.5,24.25,0.71,0.9589,896,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,2775475
pair_L01_R0596_asis.npz,ortholoc,L01,frame_dop,asis,partial,,101.7,24.23,0.693,0.9217,768,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,2571189
pair_L01_R0604_asis.npz,ortholoc,L01,frame_dop,asis,partial,,105.2,24.6,0.691,0.9957,896,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,3236270
pair_L01_R0621_asis.npz,ortholoc,L01,frame_dop,asis,partial,,98.4,24.84,0.752,0.7956,768,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,2059734
pair_L01_R0626_asis.npz,ortholoc,L01,frame_dop,asis,partial,,100.0,24.48,0.7,0.5264,640,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,1625155
pair_L02_R0010_asis.npz,ortholoc,L02,frame_dop,asis,inside,,94.0,0.66,0.679,0.9993,1024,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,3174925
pair_L02_R0034_asis.npz,ortholoc,L02,frame_dop,asis,inside,,100.7,1.06,0.669,0.999,896,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,3362298
pair_L02_R0045_asis.npz,ortholoc,L02,frame_dop,asis,partial,,100.2,0.35,0.723,0.9969,896,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,3321691
pair_L02_R0047_asis.npz,ortholoc,L02,frame_dop,asis,partial,,103.5,0.87,0.76,0.9866,896,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,3334515
pair_L02_R0054_asis.npz,ortholoc,L02,frame_dop,asis,partial,,100.5,1.0,0.68,0.9269,768,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,3137501
pair_L02_R0060_asis.npz,ortholoc,L02,frame_dop,asis,inside,,98.8,1.05,0.713,1.0,1024,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,3404282
pair_L02_R0063_asis.npz,ortholoc,L02,frame_dop,asis,partial,,101.8,0.32,0.692,0.6224,640,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,2184541
pair_L02_R0063_rect.npz,ortholoc,L02,rect_ortho,rect,partial,,101.8,0.32,1.0,0.5177,896,test_inPlace,c_L02,val,exact,0.1,аналитическая,0.50,inplace,photo,1195318
pair_L02_R0069_asis.npz,ortholoc,L02,frame_dop,asis,inside,,93.5,0.96,0.724,0.999,896,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,3315467
pair_L02_R0087_asis.npz,ortholoc,L02,frame_dop,asis,partial,,100.0,44.21,0.49,0.7159,768,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,2325573
pair_L02_R0095_asis.npz,ortholoc,L02,frame_dop,asis,partial,,100.7,1.27,0.687,0.8919,768,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,3150566
pair_L02_R0102_asis.npz,ortholoc,L02,frame_dop,asis,inside,,103.0,1.02,0.701,1.0,1024,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,3517872
pair_L02_R0104_asis.npz,ortholoc,L02,frame_dop,asis,partial,,99.2,1.13,0.719,0.9883,896,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,3276840
pair_L02_R0116_asis.npz,ortholoc,L02,frame_dop,asis,partial,,91.2,1.44,0.672,0.9086,768,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,2924829
pair_L02_R0117_asis.npz,ortholoc,L02,frame_dop,asis,partial,,116.6,59.6,0.46,0.7498,896,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,2221901
pair_L02_R0157_asis.npz,ortholoc,L02,frame_dop,asis,partial,,101.1,0.53,0.7,0.8072,640,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,2742768
pair_L02_R0159_asis.npz,ortholoc,L02,frame_dop,asis,partial,,99.3,0.87,0.742,0.8926,768,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,2996966
pair_L02_R0177_asis.npz,ortholoc,L02,frame_dop,asis,partial,,100.3,1.57,0.711,0.9867,896,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,3314514
pair_L02_R0183_asis.npz,ortholoc,L02,frame_dop,asis,partial,,98.2,0.39,0.702,0.9975,896,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,3222309
pair_L02_R0191_asis.npz,ortholoc,L02,frame_dop,asis,partial,,99.5,1.26,0.704,0.9117,768,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,3027793
pair_L02_R0202_asis.npz,ortholoc,L02,frame_dop,asis,partial,,90.1,1.36,0.664,0.7337,640,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,2637818
pair_L02_R0240_asis.npz,ortholoc,L02,frame_dop,asis,inside,,100.2,1.79,0.726,1.0,1024,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,3367114
pair_L02_R0258_asis.npz,ortholoc,L02,frame_dop,asis,inside,,101.7,1.09,0.655,1.0,896,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,3275899
pair_L02_R0271_asis.npz,ortholoc,L02,frame_dop,asis,partial,,100.7,1.08,0.767,0.9873,896,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,3370909
pair_L02_R0272_asis.npz,ortholoc,L02,frame_dop,asis,partial,,105.1,0.13,0.807,0.7163,640,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,2189338
pair_L02_R0277_asis.npz,ortholoc,L02,frame_dop,asis,partial,,92.7,1.31,0.661,0.8426,640,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,2811828
pair_L02_R0290_asis.npz,ortholoc,L02,frame_dop,asis,inside,,100.7,0.97,0.699,0.9997,1024,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,3419284
pair_L02_R0297_asis.npz,ortholoc,L02,frame_dop,asis,partial,,104.4,1.08,0.704,0.7915,640,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,2376780
pair_L02_R0304_asis.npz,ortholoc,L02,frame_dop,asis,partial,,104.8,0.83,0.709,0.9135,768,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,3003142
pair_L02_R0330_asis.npz,ortholoc,L02,frame_dop,asis,partial,,100.4,44.38,0.458,0.71,640,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,2367184
pair_L02_R0333_asis.npz,ortholoc,L02,frame_dop,asis,partial,,101.0,44.73,0.447,0.395,768,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,1706592
pair_L02_R0334_asis.npz,ortholoc,L02,frame_dop,asis,partial,,103.6,1.34,0.726,0.992,896,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,3366653
pair_L02_R0335_asis.npz,ortholoc,L02,frame_dop,asis,partial,,110.0,0.18,0.737,0.9691,1024,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,3193819
pair_L02_R0341_asis.npz,ortholoc,L02,frame_dop,asis,partial,,104.8,1.11,0.689,0.9762,896,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,3041079
pair_L02_R0353_asis.npz,ortholoc,L02,frame_dop,asis,partial,,116.6,59.72,0.481,0.7459,896,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,2257737
pair_L02_R0376_asis.npz,ortholoc,L02,frame_dop,asis,partial,,99.8,1.34,0.745,0.9969,896,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,3349991
pair_L02_R0399_asis.npz,ortholoc,L02,frame_dop,asis,inside,,100.5,44.44,0.485,0.9997,1024,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,2987875
pair_L02_R0415_asis.npz,ortholoc,L02,frame_dop,asis,partial,,100.8,44.65,0.437,0.9175,896,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,2735993
pair_L02_R0440_asis.npz,ortholoc,L02,frame_dop,asis,partial,,100.5,1.52,0.678,0.6021,640,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,2198388
pair_L02_R0443_asis.npz,ortholoc,L02,frame_dop,asis,partial,,100.0,0.54,0.723,0.6801,640,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,2361590
pair_L02_R0444_asis.npz,ortholoc,L02,frame_dop,asis,partial,,100.8,1.21,0.7,0.7314,640,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,2532495
pair_L02_R0444_rect.npz,ortholoc,L02,rect_ortho,rect,partial,,100.8,1.21,1.0,0.533,1024,test_inPlace,c_L02,val,exact,0.1,аналитическая,0.50,inplace,photo,1378865
pair_L02_R0449_asis.npz,ortholoc,L02,frame_dop,asis,partial,,101.1,1.07,0.672,0.9757,768,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,3232319
pair_L02_R0454_asis.npz,ortholoc,L02,frame_dop,asis,partial,,101.0,0.49,0.712,0.9202,768,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,3094491
pair_L02_R0473_asis.npz,ortholoc,L02,frame_dop,asis,partial,,90.1,0.93,0.715,0.9987,1024,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,3309562
pair_L02_R0475_asis.npz,ortholoc,L02,frame_dop,asis,partial,,110.7,0.82,0.85,0.7004,640,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,2250633
pair_L02_R0480_asis.npz,ortholoc,L02,frame_dop,asis,inside,,100.1,1.5,0.682,0.9996,896,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,3225900
pair_L02_R0487_asis.npz,ortholoc,L02,frame_dop,asis,partial,,91.5,1.21,0.749,0.8774,896,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,2976041
pair_L02_R0487_rect.npz,ortholoc,L02,rect_ortho,rect,partial,,91.5,1.21,1.0,0.5233,1024,test_inPlace,c_L02,val,exact,0.1,аналитическая,0.50,inplace,photo,1306194
pair_L02_R0499_asis.npz,ortholoc,L02,frame_dop,asis,inside,,101.6,1.31,0.723,0.9991,1024,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,3511579
pair_L02_R0499_rect.npz,ortholoc,L02,rect_ortho,rect,partial,,101.6,1.31,1.0,0.4699,768,test_inPlace,c_L02,val,exact,0.1,аналитическая,0.50,inplace,photo,1154782
pair_L02_R0510_asis.npz,ortholoc,L02,frame_dop,asis,partial,,99.4,1.24,0.744,0.9839,896,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,3229623
pair_L02_R0510_rect.npz,ortholoc,L02,rect_ortho,rect,partial,,99.4,1.24,1.0,0.4447,768,test_inPlace,c_L02,val,exact,0.1,аналитическая,0.50,inplace,photo,1086908
pair_L02_R0518_asis.npz,ortholoc,L02,frame_dop,asis,inside,,99.9,1.26,0.666,0.9993,896,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,3260335
pair_L02_R0540_asis.npz,ortholoc,L02,frame_dop,asis,partial,,90.5,1.39,0.646,0.9959,1024,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,3293474
pair_L02_R0544_asis.npz,ortholoc,L02,frame_dop,asis,partial,,98.3,1.14,0.701,0.9901,896,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,3269730
pair_L02_R0552_asis.npz,ortholoc,L02,frame_dop,asis,inside,,100.3,1.14,0.677,0.9998,1024,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,3453156
pair_L02_R0562_asis.npz,ortholoc,L02,frame_dop,asis,inside,,103.1,1.9,0.708,0.9999,1024,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,3328001
pair_L02_R0565_asis.npz,ortholoc,L02,frame_dop,asis,partial,,116.6,56.54,0.456,0.8076,1024,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,2324275
pair_L02_R0575_asis.npz,ortholoc,L02,frame_dop,asis,inside,,102.5,1.09,0.687,1.0,1024,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,3374083
pair_L02_R0580_asis.npz,ortholoc,L02,frame_dop,asis,partial,,99.4,0.84,0.72,0.5809,640,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,2174971
pair_L02_R0588_asis.npz,ortholoc,L02,frame_dop,asis,partial,,103.0,0.38,0.769,0.8305,768,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,2932429
pair_L02_R0588_rect.npz,ortholoc,L02,rect_ortho,rect,partial,,103.0,0.38,1.0,0.4113,640,test_inPlace,c_L02,val,exact,0.1,аналитическая,0.50,inplace,photo,995900
pair_L02_R0589_asis.npz,ortholoc,L02,frame_dop,asis,partial,,100.7,1.15,0.74,0.922,768,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,3155248
pair_L02_R0593_asis.npz,ortholoc,L02,frame_dop,asis,inside,,103.4,1.23,0.735,0.9997,1024,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,3376662
pair_L02_R0599_asis.npz,ortholoc,L02,frame_dop,asis,inside,,100.0,1.18,0.779,1.0,1024,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,3458959
pair_L02_R0606_asis.npz,ortholoc,L02,frame_dop,asis,inside,,100.7,1.09,0.734,0.9995,1024,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,3444016
pair_L02_R0610_asis.npz,ortholoc,L02,frame_dop,asis,inside,,98.6,1.1,0.726,1.0,1024,test_inPlace,c_L02,val,registered,0.97,оценка,1.00,inplace,photo,3393230
pair_L15_R0019_asis.npz,ortholoc,L15,frame_dop,asis,partial,,109.8,24.58,0.641,0.6285,640,test_inPlace,c_L15,val,registered,0.97,оценка,1.00,inplace,photo,1945988
pair_L15_R0019_rect.npz,ortholoc,L15,rect_ortho,rect,partial,,109.8,24.58,1.0,0.4814,640,test_inPlace,c_L15,val,exact,0.1,аналитическая,0.50,inplace,photo,863084
pair_L15_R0028_asis.npz,ortholoc,L15,frame_dop,asis,partial,,89.0,24.48,0.641,0.9495,768,test_inPlace,c_L15,val,registered,0.97,оценка,1.00,inplace,photo,2843338
